"","Phoxinus phoxinus","Hemibarbus maculatus","Gobiocypris rarus","Pseudorasbora parva","Rhodeus ocellatus","Megalobrama pellegrini","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Zacco platypus","Acrossocheilus monticola","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Enteromius neumayeri","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Danio rerio","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Clarias gariepinus","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Salmo trutta","Salmo salar","Pomacentrus amboinensis","Amphiprion melanopus","Amphiprion chrysopterus","Amphiprion percula","Acanthochromis polyacanthus","Chromis viridis","Forsterygion lapillum","Bellapiscis medius","Amatitlania nigrofasciata","Oreochromis niloticus","Gambusia holbrooki","Fundulus heteroclitus","Fundulus grandis","Fundulus parvipinnis","Platichthys flesus","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Trachurus trachurus","Channa argus","Dicentrarchus labrax","Caesio cuning","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Myoxocephalus scorpius","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Centropristis striata","Siniperca chuatsi","Girella nigricans","Polyprion oxygeneios","Thunnus orientalis","Neogobius melanostomus","Rhinogobius giurinus","Gadus morhua","Boreogadus saida","Anguilla anguilla","Torpedo marmorata","Hemiscyllium ocellatum","Somniosus microcephalus"
"Phoxinus phoxinus",1,0.962962962962963,0.962962962962963,0.962962962962963,0.950617283950617,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Hemibarbus maculatus",0.962962962962963,1,0.975308641975309,0.975308641975309,0.950617283950617,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Gobiocypris rarus",0.962962962962963,0.975308641975309,1,0.987654320987654,0.950617283950617,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Pseudorasbora parva",0.962962962962963,0.975308641975309,0.987654320987654,1,0.950617283950617,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Rhodeus ocellatus",0.950617283950617,0.950617283950617,0.950617283950617,0.950617283950617,1,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Megalobrama pellegrini",0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,1,0.987654320987655,0.962962962962963,0.962962962962963,0.950617283950618,0.938271604938272,0.925925925925926,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Sinibrama taeniatus",0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.987654320987655,1,0.962962962962963,0.962962962962963,0.950617283950618,0.938271604938272,0.925925925925926,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Hypophthalmichthys molitrix",0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.962962962962963,0.962962962962963,1,0.987654320987655,0.950617283950618,0.938271604938272,0.925925925925926,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Hypophthalmichthys nobilis",0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.962962962962963,0.962962962962963,0.987654320987655,1,0.950617283950618,0.938271604938272,0.925925925925926,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
"Mylopharyngodon piceus",0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.864197530864198,0.950617283950618,0.950617283950618,0.950617283950618,0.950617283950618,1,0.938271604938272,0.925925925925926,0.851851851851852,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.753086419753086,0.740740740740741,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.62962962962963,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0493827160493827,0.0370370370370371,0,0,0
