"","Phoxinus phoxinus","Hemibarbus maculatus","Abbottina rivularis","Gobiocypris rarus","Pseudorasbora parva","Sarcocheilichthys parvus","Rhodeus ocellatus","Hemiculter leucisculus","Megalobrama pellegrini","Parabramis pekinensis","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Opsariichthys bidens","Zacco platypus","Acrossocheilus monticola","Onychostoma simum","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Enteromius neumayeri","Cyprinus carpio","Rhodeus sinensis","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Danio rerio","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Piaractus mesopotamicus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Salmo trutta","Pomacentrus amboinensis","Acanthochromis polyacanthus","Oreochromis niloticus","Poecilia reticulata","Gambusia holbrooki","Fundulus grandis","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Channa argus","Dicentrarchus labrax","Caesio cuning","Sciaenops ocellatus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Siniperca chuatsi","Girella nigricans","Neogobius melanostomus","Rhinogobius giurinus","Boreogadus saida","Hemiscyllium ocellatum","Somniosus microcephalus"
"Phoxinus phoxinus",1,0.929577464788732,0.929577464788732,0.929577464788732,0.929577464788732,0.929577464788732,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Hemibarbus maculatus",0.929577464788732,1,0.943661971830986,0.943661971830986,0.943661971830986,0.943661971830986,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Abbottina rivularis",0.929577464788732,0.943661971830986,1,0.971830985915493,0.971830985915493,0.957746478873239,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Gobiocypris rarus",0.929577464788732,0.943661971830986,0.971830985915493,1,0.985915492957746,0.957746478873239,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Pseudorasbora parva",0.929577464788732,0.943661971830986,0.971830985915493,0.985915492957746,1,0.957746478873239,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Sarcocheilichthys parvus",0.929577464788732,0.943661971830986,0.957746478873239,0.957746478873239,0.957746478873239,1,0.915492957746479,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Rhodeus ocellatus",0.915492957746479,0.915492957746479,0.915492957746479,0.915492957746479,0.915492957746479,0.915492957746479,1,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Hemiculter leucisculus",0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,1,0.957746478873239,0.957746478873239,0.957746478873239,0.929577464788732,0.929577464788732,0.915492957746479,0.901408450704225,0.873239436619718,0.873239436619718,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Megalobrama pellegrini",0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.957746478873239,1,0.985915492957746,0.971830985915493,0.929577464788732,0.929577464788732,0.915492957746479,0.901408450704225,0.873239436619718,0.873239436619718,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
"Parabramis pekinensis",0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.774647887323944,0.957746478873239,0.985915492957746,1,0.971830985915493,0.929577464788732,0.929577464788732,0.915492957746479,0.901408450704225,0.873239436619718,0.873239436619718,0.746478873239437,0.746478873239437,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.619718309859155,0.605633802816901,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.47887323943662,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0
