"","Piaractus mesopotamicus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Acanthochromis polyacanthus","Chromis atripectoralis","Oreochromis niloticus","Fundulus grandis","Fundulus parvipinnis","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Dicentrarchus labrax","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Boreogadus saida","Hemiscyllium ocellatum"
"Piaractus mesopotamicus",1,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0
"Oncorhynchus nerka",0.0434782608695652,1,0.869565217391304,0.869565217391304,0.869565217391304,0.826086956521739,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0
"Oncorhynchus mykiss",0.0434782608695652,0.869565217391304,1,0.91304347826087,0.91304347826087,0.826086956521739,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0
"Oncorhynchus tshawytscha",0.0434782608695652,0.869565217391304,0.91304347826087,1,0.956521739130435,0.826086956521739,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0
"Oncorhynchus kisutch",0.0434782608695652,0.869565217391304,0.91304347826087,0.956521739130435,1,0.826086956521739,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0
"Salvelinus alpinus",0.0434782608695652,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,1,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0
"Acanthochromis polyacanthus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,1,0.956521739130435,0.826086956521739,0.826086956521739,0.826086956521739,0.695652173913043,0.695652173913043,0.695652173913043,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Chromis atripectoralis",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.956521739130435,1,0.826086956521739,0.826086956521739,0.826086956521739,0.695652173913043,0.695652173913043,0.695652173913043,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Oreochromis niloticus",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.826086956521739,0.826086956521739,1,0.91304347826087,0.91304347826087,0.695652173913043,0.695652173913043,0.695652173913043,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
"Fundulus grandis",0.0434782608695652,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.826086956521739,0.826086956521739,0.91304347826087,1,0.956521739130435,0.695652173913043,0.695652173913043,0.695652173913043,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.304347826086957,0
