"ecol_temp_cat","intercept","slope","temp","intercept.ciL","slope.ciL","temp.ciL","intercept.ciH","slope.ciH","temp.ciH","ecology_subgroup","test_category3","size_min","size_max","n","temp_min","temp_max","species_n","MR","Ecol","n_data_n_species","scalingGood"
"elongated_optimal",0.51,0,0.03,0.3,-0.03,0.03,0.72,0.04,0.04,"elongated","optimal",0.45,126000,304,0,27,18,"FAS","BodyShapeI","304 (18)",1
"elongated_warm",1.3,-0.25,0.01,0.99,-0.31,0,1.6,-0.18,0.02,"elongated","warm",0.38,24.9,79,8,32,4,"FAS","BodyShapeI","79 (4)",0
"fusiform_optimal",1.94,0.04,-0.03,1.9,0.04,-0.03,1.99,0.05,-0.03,"fusiform","optimal",0.25,3450,2028,9,31,33,"FAS","BodyShapeI","2028 (33)",1
"fusiform_warm",1.18,0.01,0,1.06,0,-0.01,1.31,0.02,0,"fusiform","warm",0.33,3190,551,12,35,11,"FAS","BodyShapeI","551 (11)",1
"short/deep_optimal",2.64,-0.01,-0.05,2.31,-0.04,-0.07,2.98,0.01,-0.04,"short/deep","optimal",0.04,39.2,138,12,30,5,"FAS","BodyShapeI","138 (5)",1
"short/deep_warm",6.87,-0.36,-0.15,5.61,-0.42,-0.19,8.13,-0.29,-0.11,"short/deep","warm",1.6,33.8,56,29,35,2,"FAS","BodyShapeI","56 (2)",0
"Polar_optimal",0.7,-0.04,0.03,0.41,-0.1,-0.03,0.98,0.01,0.09,"Polar","optimal",16.1,126000,15,0,6,2,"FAS","Climate","15 (2)",0
"Polar_warm",0.29,0.05,NA,-2.36,-0.86,NA,2.94,0.96,NA,"Polar","warm",11.4,24.9,5,8,8,1,"FAS","Climate","5 (1)",0
"Subtropical_optimal",2.03,0.06,-0.03,1.95,0.05,-0.03,2.1,0.07,-0.03,"Subtropical","optimal",0.46,3011,889,9,30,28,"FAS","Climate","889 (28)",1
"Subtropical_warm",1.6,0.04,-0.02,1.32,0.01,-0.04,1.89,0.08,-0.01,"Subtropical","warm",0.38,2595,150,12,31,4,"FAS","Climate","150 (4)",1
"Temperate_optimal",1.91,0.03,-0.03,1.83,0.02,-0.04,2,0.04,-0.02,"Temperate","optimal",0.45,3450,847,10,28,16,"FAS","Climate","847 (16)",1
"Temperate_warm",3.35,-0.13,-0.06,2.58,-0.17,-0.08,4.12,-0.09,-0.04,"Temperate","warm",7.1,3190,141,21,30.2,4,"FAS","Climate","141 (4)",1
"Tropical_optimal",0.97,0,0.01,0.78,-0.01,0,1.16,0.01,0.02,"Tropical","optimal",0.04,155.53,719,18,31,10,"FAS","Climate","719 (10)",1
"Tropical_warm",1.28,-0.01,0,0.88,-0.03,-0.02,1.69,0.01,0.01,"Tropical","warm",0.33,176.91,390,27,35,8,"FAS","Climate","390 (8)",1
"benthopelagic_optimal",1.46,0,-0.01,1.3,-0.02,-0.01,1.61,0.02,0,"benthopelagic","optimal",0.46,126000,580,3.8,30,27,"FAS","DemersPelag","580 (27)",1
"benthopelagic_warm",1.34,-0.06,-0.01,1.11,-0.18,-0.02,1.58,0.06,0.01,"benthopelagic","warm",0.38,7.1,149,12,32,3,"FAS","DemersPelag","149 (3)",1
"demersal_optimal",1.77,0,-0.02,1.68,-0.01,-0.02,1.85,0.02,-0.01,"demersal","optimal",0.45,882,824,0,31,17,"FAS","DemersPelag","824 (17)",1
"demersal_warm",0.86,-0.01,0.01,0.64,-0.05,0.01,1.08,0.03,0.02,"demersal","warm",4.62,591,305,8,35,5,"FAS","DemersPelag","305 (5)",1
"pelagic_optimal",1.83,0.01,0,1.7,0,-0.01,1.96,0.02,0.01,"pelagic","optimal",5.37,3450,502,9,20,3,"FAS","DemersPelag","502 (3)",1
"pelagic_warm",4.8,-0.06,-0.15,-0.32,-0.74,-0.2,9.91,0.63,-0.11,"pelagic","warm",1433,3190,48,18,26,2,"FAS","DemersPelag","48 (2)",0
"reef-associated_optimal",1.58,0.01,-0.01,1.5,0,-0.01,1.67,0.02,-0.01,"reef-associated","optimal",0.04,602.3,564,13,30,9,"FAS","DemersPelag","564 (9)",1
"reef-associated_warm",2.42,-0.05,-0.04,1.24,-0.08,-0.08,3.59,-0.02,0,"reef-associated","warm",0.33,700.4,184,27,35,7,"FAS","DemersPelag","184 (7)",1
"Freshwater_optimal",1.25,0,0,0.91,-0.04,-0.02,1.6,0.05,0.01,"Freshwater","optimal",0.45,81.04,312,18,31,21,"FAS","salintyComb","312 (21)",1
"Freshwater_warm",1.33,-0.05,0,0.01,-0.14,-0.04,2.65,0.03,0.03,"Freshwater","warm",4.62,50.08,47,31,35,1,"FAS","salintyComb","47 (1)",0
"Freshwater; brackish_optimal",1.8,-0.02,-0.02,1.7,-0.04,-0.02,1.9,0,-0.01,"Freshwater; brackish","optimal",0.59,882,637,10,30,14,"FAS","salintyComb","637 (14)",1
"Freshwater; brackish_warm",1.57,-0.07,-0.01,0.3,-0.12,-0.05,2.84,-0.01,0.03,"Freshwater; brackish","warm",2.42,591,76,28,32,2,"FAS","salintyComb","76 (2)",0
"Marine_optimal",1.63,0.02,-0.01,1.54,0.01,-0.02,1.72,0.03,-0.01,"Marine","optimal",0.04,602.3,636,12,30,11,"FAS","salintyComb","636 (11)",1
"Marine_warm",2.42,-0.05,-0.04,1.24,-0.08,-0.08,3.59,-0.02,0,"Marine","warm",0.33,700.4,184,27,35,7,"FAS","salintyComb","184 (7)",1
"Marine; brackish_optimal",0.7,-0.04,0.03,0.41,-0.1,-0.03,0.98,0.01,0.09,"Marine; brackish","optimal",16.1,126000,15,0,6,2,"FAS","salintyComb","15 (2)",0
"Marine; brackish_warm",2.96,-0.65,-0.08,-0.28,-1.24,-0.27,6.2,-0.05,0.1,"Marine; brackish","warm",0.38,24.9,18,8,19,2,"FAS","salintyComb","18 (2)",0
"Marine; freshwater; brackish_optimal",2.1,0.05,-0.03,2.04,0.04,-0.04,2.15,0.06,-0.03,"Marine; freshwater; brackish","optimal",0.46,3450,870,9,29,8,"FAS","salintyComb","870 (8)",1
"Marine; freshwater; brackish_warm",1.18,0.02,0,1.04,0,-0.01,1.31,0.03,0,"Marine; freshwater; brackish","warm",0.66,3190,361,12,35,5,"FAS","salintyComb","361 (5)",1
