ecol_temp_cat,slope,ecol_temp_cat,slope,
dorsoventrflattened_optimal,1.08,,,MMR>RMR
eel-like_optimal,1.24,,,
elongated_optimal,0.74,elongated_optimal,0.98,TRUE
elongated_warm,0.47,elongated_warm,0.75,TRUE
fusiform_optimal,0.89,fusiform_optimal,0.94,TRUE
fusiform_warm,0.93,fusiform_warm,0.94,TRUE
short/deep_optimal,0.75,short/deep_optimal,0.71,FALSE
short/deep_warm,0.92,short/deep_warm,0.84,FALSE
Polar_optimal,0.8,Polar_optimal,0.69,FALSE
Polar_warm,0.87,Polar_warm,1.44,TRUE
Subtropical_optimal,0.86,Subtropical_optimal,0.94,TRUE
Subtropical_warm,0.99,Subtropical_warm,0.97,FALSE
Temperate_optimal,0.89,Temperate_optimal,0.92,TRUE
Temperate_warm,1.05,Temperate_warm,1.02,FALSE
Tropical_optimal,0.81,Tropical_optimal,0.75,FALSE
Tropical_warm,0.83,Tropical_warm,0.83,FALSE
benthopelagic_optimal,0.91,benthopelagic_optimal,0.88,FALSE
benthopelagic_warm,1,benthopelagic_warm,0.97,FALSE
demersal_optimal,0.75,demersal_optimal,0.77,TRUE
demersal_warm,0.78,demersal_warm,0.71,FALSE
pelagic_optimal,1,pelagic_optimal,1.02,TRUE
pelagic_warm,1.25,pelagic_warm,0.74,FALSE
reef-associated_optimal,0.8,reef-associated_optimal,0.79,FALSE
reef-associated_warm,0.88,reef-associated_warm,0.84,FALSE
Freshwater_optimal,0.8,Freshwater_optimal,1,TRUE
Freshwater_warm,0.76,Freshwater_warm,0.77,TRUE
Freshwater; brackish_optimal,0.75,Freshwater; brackish_optimal,0.83,TRUE
Freshwater; brackish_warm,0.87,Freshwater; brackish_warm,0.96,TRUE
Marine_optimal,0.83,Marine_optimal,0.78,FALSE
Marine_warm,0.88,Marine_warm,0.84,FALSE
Marine; brackish_optimal,0.82,Marine; brackish_optimal,0.69,FALSE
Marine; brackish_warm,1.04,Marine; brackish_warm,0.8,FALSE
Marine; freshwater; brackish_optimal,0.96,Marine; freshwater; brackish_optimal,0.97,TRUE
Marine; freshwater; brackish_warm,0.99,Marine; freshwater; brackish_warm,0.97,FALSE
