"df","BIC","delta","models","var","test.categ","ecol"
11,978.26477833776,0,"ecol.model","AS","opt","DemersPelag"
8,987.761193567067,9.49642,"ecol.model.null","AS","opt","DemersPelag"
8,987.761193567067,0,"ecol.model.null","AS","opt","BodyShapeI"
10,989.599928231233,1.83873,"ecol.model","AS","opt","BodyShapeI"
8,987.761193567067,0,"ecol.model.null","AS","opt","Climate"
11,996.840071092806,9.07888,"ecol.model","AS","opt","Climate"
8,987.761193567067,0,"ecol.model.null","AS","opt","salintyComb"
12,1003.20150860343,15.44032,"ecol.model","AS","opt","salintyComb"
8,978.448103980642,0,"ecol.model.null","AS","warm","DemersPelag"
11,981.46293412459,3.01483,"ecol.model","AS","warm","DemersPelag"
8,978.448103980642,0,"ecol.model.null","AS","warm","BodyShapeI"
10,978.546527711271,0.09842,"ecol.model","AS","warm","BodyShapeI"
8,978.448103980642,0,"ecol.model.null","AS","warm","Climate"
11,981.785315112369,3.33721,"ecol.model","AS","warm","Climate"
8,978.448103980642,0,"ecol.model.null","AS","warm","salintyComb"
12,994.488942992272,16.04084,"ecol.model","AS","warm","salintyComb"
8,800.140581766035,0,"ecol.model.null","FAS","opt","DemersPelag"
11,801.165129000966,1.02455,"ecol.model","FAS","opt","DemersPelag"
10,798.07618441788,0,"ecol.model","FAS","opt","BodyShapeI"
8,800.140581766035,2.0644,"ecol.model.null","FAS","opt","BodyShapeI"
11,792.342891661938,0,"ecol.model","FAS","opt","Climate"
8,800.140581766035,7.79769,"ecol.model.null","FAS","opt","Climate"
8,800.140581766035,0,"ecol.model.null","FAS","opt","salintyComb"
12,800.980475312895,0.83989,"ecol.model","FAS","opt","salintyComb"
7,312.958318589767,0,"ecol.model.null","FAS","warm","DemersPelag"
10,327.834836518492,14.87652,"ecol.model","FAS","warm","DemersPelag"
7,312.958318589767,0,"ecol.model.null","FAS","warm","BodyShapeI"
9,324.059726299684,11.10141,"ecol.model","FAS","warm","BodyShapeI"
10,310.730311973288,0,"ecol.model","FAS","warm","Climate"
7,312.958318589767,2.22801,"ecol.model.null","FAS","warm","Climate"
7,312.958318589767,0,"ecol.model.null","FAS","warm","salintyComb"
11,334.136157742149,21.17784,"ecol.model","FAS","warm","salintyComb"
11,1222.23015657965,0,"ecol.model","RMR","opt","DemersPelag"
8,1238.04595344469,15.8158,"ecol.model.null","RMR","opt","DemersPelag"
11,1211.02001612185,0,"ecol.model","RMR","opt","BodyShapeI"
8,1238.04595344469,27.02594,"ecol.model.null","RMR","opt","BodyShapeI"
11,1216.21478985304,0,"ecol.model","RMR","opt","Climate"
8,1238.04595344469,21.83116,"ecol.model.null","RMR","opt","Climate"
12,1230.13468579266,0,"ecol.model","RMR","opt","salintyComb"
8,1238.04595344469,7.91127,"ecol.model.null","RMR","opt","salintyComb"
7,474.647232700868,0,"ecol.model.null","RMR","warm","DemersPelag"
10,489.942922208423,15.29569,"ecol.model","RMR","warm","DemersPelag"
7,474.647232700868,0,"ecol.model.null","RMR","warm","BodyShapeI"
9,492.36846697037,17.72123,"ecol.model","RMR","warm","BodyShapeI"
7,474.647232700868,0,"ecol.model.null","RMR","warm","Climate"
10,484.041336171051,9.3941,"ecol.model","RMR","warm","Climate"
7,474.647232700868,0,"ecol.model.null","RMR","warm","salintyComb"
11,499.821506354089,25.17427,"ecol.model","RMR","warm","salintyComb"
10,-452.199486229837,0,"ecol.model","MMR","opt","DemersPelag"
7,-431.774896304514,20.42459,"ecol.model.null","MMR","opt","DemersPelag"
9,-444.518060921541,0,"ecol.model","MMR","opt","BodyShapeI"
7,-431.774896304514,12.74316,"ecol.model.null","MMR","opt","BodyShapeI"
10,-438.356954700566,0,"ecol.model","MMR","opt","Climate"
7,-431.774896304514,6.58206,"ecol.model.null","MMR","opt","Climate"
11,-435.966128650578,0,"ecol.model","MMR","opt","salintyComb"
7,-431.774896304514,4.19123,"ecol.model.null","MMR","opt","salintyComb"
8,-215.267350346317,0,"ecol.model.null","MMR","warm","DemersPelag"
11,-211.68343849419,3.58391,"ecol.model","MMR","warm","DemersPelag"
8,-215.267350346317,0,"ecol.model.null","MMR","warm","BodyShapeI"
10,-206.837989630145,8.42936,"ecol.model","MMR","warm","BodyShapeI"
8,-215.267350346317,0,"ecol.model.null","MMR","warm","Climate"
11,-209.77827842094,5.48907,"ecol.model","MMR","warm","Climate"
8,-215.267350346317,0,"ecol.model.null","MMR","warm","salintyComb"
12,-192.643969023122,22.62338,"ecol.model","MMR","warm","salintyComb"
