"EcolGroup","emmean","SE","df","lower.CL","upper.CL","var","test.categ","ecol"
"benthopelagic",-0.451735038006657,0.10515370066233,68.734511076946,-0.66152538720844,-0.241944688804874,"AS","opt","DemersPelag"
"demersal",-0.605651128488524,0.13107666061022,64.9697704037039,-0.867431605386745,-0.343870651590303,"AS","opt","DemersPelag"
"pelagic",0.400232378871902,0.38968837991581,75.185403108401,-0.376035306223909,1.17650006396771,"AS","opt","DemersPelag"
"reef-associated",-0.542704189147338,0.177573309830309,61.9366386152066,-0.897675401199318,-0.187732977095358,"AS","opt","DemersPelag"
"elongated",-0.595748834849442,0.143350512220559,80.3561797382605,-0.881006035013058,-0.310491634685827,"AS","opt","BodyShapeI"
"fusiform",-0.438897639756628,0.0937277022720945,56.4823332826605,-0.626621413482148,-0.251173866031107,"AS","opt","BodyShapeI"
"short/deep",-0.520975926541781,0.246672211399518,69.5816019115239,-1.01300015392667,-0.0289516991568959,"AS","opt","BodyShapeI"
"Polar",-1.80304992867137,0.546874009905584,78.3457212157774,-2.89171677969241,-0.714383077650329,"AS","opt","Climate"
"Subtropical",-0.404248214291775,0.104199080727118,67.440375477223,-0.612205488533641,-0.196290940049909,"AS","opt","Climate"
"Temperate",-0.489086875655084,0.139448007340488,66.2926938678706,-0.767480862771755,-0.210692888538414,"AS","opt","Climate"
"Tropical",-0.597677716012873,0.154381765137419,56.2626133791178,-0.906909702351521,-0.288445729674226,"AS","opt","Climate"
"Freshwater",-0.416894660939929,0.120152286364083,74.8097709888481,-0.656260265971741,-0.177529055908116,"AS","opt","salintyComb"
"Freshwater; brackish",-0.519570379757519,0.139240255818583,57.8213395082114,-0.798308371724167,-0.240832387790871,"AS","opt","salintyComb"
"Marine",-0.547483984254748,0.166849380138101,66.3122191083297,-0.880580246695296,-0.214387721814199,"AS","opt","salintyComb"
"Marine; brackish",-1.81904185323091,0.549701786338548,79.0640841543584,-2.91318210020165,-0.72490160626017,"AS","opt","salintyComb"
"Marine; freshwater; brackish",-0.409122150764891,0.197374726043643,57.4550624329117,-0.804290390246333,-0.0139539112834486,"AS","opt","salintyComb"
"benthopelagic",-0.461883638465101,0.383610780221178,22.3872367327589,-1.25664660903606,0.332879332105854,"AS","warm","DemersPelag"
"demersal",-0.315174867126555,0.329592030017354,34.7111881059543,-0.984481330562643,0.354131596309532,"AS","warm","DemersPelag"
"pelagic",1.10514914293681,0.572570725071409,10.055720999063,-0.169660349662785,2.3799586355364,"AS","warm","DemersPelag"
"reef-associated",-0.438925320493708,0.279996946160778,32.7811993219665,-1.008727869128,0.13087722814058,"AS","warm","DemersPelag"
"elongated",-1.04441641489357,0.332042591757467,20.8374528054611,-1.73526491943944,-0.353567910347701,"AS","warm","BodyShapeI"
"fusiform",-0.06697798254848,0.237015597304775,29.0102652681072,-0.551721857239206,0.417765892142246,"AS","warm","BodyShapeI"
"short/deep",-0.31592591764394,0.476856547525708,22.5759799435936,-1.30340505045286,0.671553215164977,"AS","warm","BodyShapeI"
"Polar",-2.12825831703966,0.672859227344611,27.7661954933617,-3.50707101547347,-0.749445618605845,"AS","warm","Climate"
"Subtropical",-0.217584580341071,0.339245535449253,21.2788946202045,-0.922521685182493,0.487352524500352,"AS","warm","Climate"
"Temperate",-0.0805734124721464,0.416593162197297,37.1691706063704,-0.924541677811994,0.763394852867701,"AS","warm","Climate"
"Tropical",-0.333521575461057,0.244690940264128,31.075152862426,-0.832523125546698,0.165479974624583,"AS","warm","Climate"
"Freshwater",0.345753173625828,0.775154921278648,23.4289443720506,-1.25615402430552,1.94766037155717,"AS","warm","salintyComb"
"Freshwater; brackish",-0.259676036220815,0.541891396981892,22.398207768886,-1.38233272459799,0.862980652156358,"AS","warm","salintyComb"
"Marine",-0.429421042295772,0.308307827633545,28.9679348344627,-1.06001166966527,0.20116958507372,"AS","warm","salintyComb"
"Marine; brackish",-1.04092078250924,0.539485003978851,22.3169434602573,-2.15882366119773,0.0769820961792442,"AS","warm","salintyComb"
"Marine; freshwater; brackish",0.19160801539063,0.414107193957274,34.1148735248057,-0.649854688871287,1.03307071965255,"AS","warm","salintyComb"
"benthopelagic",1.49733477862795,0.0719595858832659,73.0465473626896,1.35392107038895,1.64074848686696,"FAS","opt","DemersPelag"
"demersal",1.44675543007023,0.0895613737262122,71.7947608482124,1.26820937435708,1.62530148578338,"FAS","opt","DemersPelag"
