"contrast","estimate","SE","df","t.ratio","p.value","var","test.categ","ecol"
"benthopelagic - demersal",0.153916090482355,0.159660800230623,58.9204037382373,0.964019285009403,0.770271213151212,"AS","opt","DemersPelag"
"benthopelagic - pelagic",-0.851967416886187,0.39851477926576,74.1937701801069,-2.13785651427003,0.150768280594956,"AS","opt","DemersPelag"
"benthopelagic - (reef-associated)",0.0909691511441333,0.200888711707503,59.8371055428027,0.452833563274505,0.968826061532817,"AS","opt","DemersPelag"
"demersal - pelagic",-1.00588350736854,0.406090806050561,73.4343012562217,-2.47699158016225,0.0720249516895958,"AS","opt","DemersPelag"
"demersal - (reef-associated)",-0.0629469393382213,0.216255492703207,60.3116234577117,-0.291076719261003,0.991325479039379,"AS","opt","DemersPelag"
"pelagic - (reef-associated)",0.94293656803032,0.426560710771655,74.1072839951968,2.21055653795337,0.129852312393558,"AS","opt","DemersPelag"
"elongated - fusiform",-0.156851195093527,0.161730558694203,65.469314743102,-0.969830292802603,0.59840799076495,"AS","opt","BodyShapeI"
"elongated - (short/deep)",-0.0747729083088463,0.278318787888843,67.9819154334124,-0.26865921943692,0.961016029402531,"AS","opt","BodyShapeI"
"fusiform - (short/deep)",0.082078286784681,0.259845320489486,65.8055380978103,0.315873638324775,0.946530913781028,"AS","opt","BodyShapeI"
"Polar - Subtropical",-1.39880171438742,0.551315630583341,78.545762405134,-2.53720670481873,0.0619417740016394,"AS","opt","Climate"
"Polar - Temperate",-1.31396305302422,0.557608940372775,78.2380113979269,-2.3564239342106,0.0942799435329924,"AS","opt","Climate"
"Polar - Tropical",-1.20537221266687,0.568387334948754,81.0825049154285,-2.12068802126906,0.155261438156841,"AS","opt","Climate"
"Subtropical - Temperate",0.0848386613632,0.16525860657861,60.6242796310002,0.513369095381086,0.955593051776062,"AS","opt","Climate"
"Subtropical - Tropical",0.19342950172055,0.180871299232755,55.2971933789426,1.06943170387489,0.709401634824812,"AS","opt","Climate"
"Temperate - Tropical",0.10859084035735,0.203337298204037,58.1232454238417,0.53404289973591,0.950406656482976,"AS","opt","Climate"
"Freshwater - Freshwater; brackish",0.102675718817742,0.176155730005624,57.2971021319261,0.582869026255713,0.977095834868464,"AS","opt","salintyComb"
"Freshwater - Marine",0.130589323315107,0.198049398416043,63.3149136884698,0.659377530856106,0.964235006644648,"AS","opt","salintyComb"
"Freshwater - Marine; brackish",1.40214719228782,0.557616685052345,80.2336227770079,2.51453593458415,0.0975293960725382,"AS","opt","salintyComb"
"Freshwater - Marine; freshwater; brackish",-0.00777251017543781,0.226373618878367,60.4363961133847,-0.0343348761836689,0.999999674903914,"AS","opt","salintyComb"
"Freshwater; brackish - Marine",0.027913604497365,0.212173807843642,59.4768348547699,0.131560086426575,0.99993044875928,"AS","opt","salintyComb"
"Freshwater; brackish - Marine; brackish",1.29947147347007,0.563439321733849,80.3275920896568,2.3063201721017,0.153568893655117,"AS","opt","salintyComb"
"Freshwater; brackish - Marine; freshwater; brackish",-0.11044822899318,0.238334600756933,56.8164286771535,-0.463416678243129,0.9902726925151,"AS","opt","salintyComb"
"Marine - Marine; brackish",1.27155786897271,0.57111264357845,80.4674755962469,2.22645722042756,0.180593828541669,"AS","opt","salintyComb"
"Marine - Marine; freshwater; brackish",-0.138361833490545,0.255471319893993,60.9809751670836,-0.541594389334811,0.982564565081192,"AS","opt","salintyComb"
"Marine; brackish - Marine; freshwater; brackish",-1.40991970246325,0.577576127092387,78.5688590658142,-2.44109760831186,0.115267855452211,"AS","opt","salintyComb"
"benthopelagic - demersal",-0.146708771338458,0.497495288484989,25.0397489033615,-0.294894795456711,0.990854537035331,"AS","warm","DemersPelag"
