"","df","BIC","delta"
"Phylo_FAS_W_model2.POLY",8,262.284311976336,0
"Phylo_FAS_W_model1",6,265.120286733449,2.83597
"Phylo_FAS_W_model1intPOLY",9,265.736502965938,3.45219
"Phylo_FAS_W_model2intPOLY",10,268.476254851939,6.19194
"Phylo_FAS_W_model2",7,269.321527372198,7.03722
"Phylo_FAS_W_model1int",7,269.374845349916,7.09053
"Phylo_FAS_W_model5",7,271.367594983179,9.08328
"Phylo_FAS_W_model1.POLY",7,271.639538381999,9.35523
"Phylo_FAS_W_model4",7,272.065559556634,9.78125
"Phylo_FAS_W_model5intPOLY",10,272.265059839522,9.98075
"Phylo_FAS_W_model2int",8,272.906471904513,10.62216
"Phylo_FAS_W_model5int",8,275.89822871376,13.61392
"Phylo_FAS_W_model5.POLY",8,277.880562243612,15.59625
"Phylo_FAS_W_model4.POLY",8,278.483465505392,16.19915
"Phylo_FAS_W_model4int",8,278.588121292822,16.30381
"Phylo_FAS_W_model4intPOLY",10,279.682466888077,17.39815
"Phylo_FAS_W_model6",8,291.296256341879,29.01194
"Phylo_FAS_W_model6intPOLY",11,295.375967865049,33.09166
"Phylo_FAS_W_model6.POLY",9,297.776786661355,35.49247
"Phylo_FAS_W_model6int",9,299.873283562691,37.58897
"Phylo_FAS_W_model0intPOLY",8,303.842027095238,41.55772
"Phylo_FAS_W_model0",5,309.810529468962,47.52622
"Phylo_FAS_W_model0int",6,310.080059546822,47.79575
"Phylo_FAS_W_model0.POLY",6,315.725694204729,53.44138
