"tempTest","lnBWg","model_predFE","CI_2.5","CI_97.5"
0,-3.5405,-3.0233890958466,-3.58955131401377,-2.45655809615881
1,-3.5405,-3.02424958746467,-3.57855666912971,-2.4671528051354
2,-3.5405,-3.02511007908274,-3.56756202424565,-2.477747514112
3,-3.5405,-3.02597057070081,-3.55656737936159,-2.48834222308859
4,-3.5405,-3.02683106231888,-3.54557273447752,-2.49893693206518
5,-3.5405,-3.02769155393695,-3.53457808959346,-2.50953164104178
6,-3.5405,-3.02855204555503,-3.5235834447094,-2.52012635001837
7,-3.5405,-3.0294125371731,-3.51258879982534,-2.5176890156861
8,-3.5405,-3.03027302879117,-3.50159415494128,-2.51123026068265
9,-3.5405,-3.03113352040924,-3.49059951005722,-2.5047715056792
10,-3.5405,-3.03199401202731,-3.47960486517316,-2.49831275067576
11,-3.5405,-3.03285450364538,-3.4686102202891,-2.49185399567231
12,-3.5405,-3.03371499526345,-3.46087785220877,-2.48539524066886
13,-3.5405,-3.03457548688152,-3.45817410481258,-2.47893648566541
14,-3.5405,-3.0354359784996,-3.45547035741639,-2.47247773066196
15,-3.5405,-3.03629647011767,-3.4527666100202,-2.46601897565851
16,-3.5405,-3.03715696173574,-3.45006286262402,-2.45956022065506
17,-3.5405,-3.03801745335381,-3.44735911522783,-2.45310146565161
18,-3.5405,-3.03887794497188,-3.44465536783164,-2.44664271064816
19,-3.5405,-3.03973843658995,-3.44195162043545,-2.44018395564471
20,-3.5405,-3.04059892820802,-3.43924787303927,-2.43372520064126
21,-3.5405,-3.04145941982609,-3.43654412564308,-2.42726644563781
22,-3.5405,-3.04231991144417,-3.43384037824689,-2.42080769063436
23,-3.5405,-3.04318040306224,-3.4311366308507,-2.41434893563091
24,-3.5405,-3.04404089468031,-3.42843288345452,-2.40789018062746
25,-3.5405,-3.04490138629838,-3.42572913605833,-2.40143142562401
26,-3.5405,-3.04576187791645,-3.42302538866214,-2.39497267062056
27,-3.5405,-3.04662236953452,-3.42032164126595,-2.38851391561711
28,-3.5405,-3.04748286115259,-3.41761789386977,-2.38205516061366
