"","Phoxinus phoxinus","Abbottina rivularis","Pseudorasbora parva","Hemiculter leucisculus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Amphistichus argenteus","Poecilia reticulata","Gambusia holbrooki","Fundulus grandis","Chrysoblephus laticeps","Acanthurus triostegus","Sciaenops ocellatus","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Rhinogobius giurinus"
"Phoxinus phoxinus",1,0.904761904761905,0.904761904761905,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbottina rivularis",0.904761904761905,1,0.952380952380953,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudorasbora parva",0.904761904761905,0.952380952380953,1,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemiculter leucisculus",0.857142857142857,0.857142857142857,0.857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus nerka",0,0,0,0,1,0.80952380952381,0.80952380952381,0.80952380952381,0.80952380952381,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619
"Oncorhynchus mykiss",0,0,0,0,0.80952380952381,1,0.952380952380952,0.857142857142857,0.857142857142857,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619
"Oncorhynchus clarkii lewisi",0,0,0,0,0.80952380952381,0.952380952380952,1,0.857142857142857,0.857142857142857,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619
"Oncorhynchus tshawytscha",0,0,0,0,0.80952380952381,0.857142857142857,0.857142857142857,1,0.952380952380952,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619
"Oncorhynchus kisutch",0,0,0,0,0.80952380952381,0.857142857142857,0.857142857142857,0.952380952380952,1,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619
"Acanthochromis polyacanthus",0,0,0,0,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,1,0.952380952380952,0.80952380952381,0.80952380952381,0.80952380952381,0.523809523809524,0.523809523809524,0.523809523809524,0.523809523809524,0.523809523809524,0.523809523809524,0.428571428571429,0.428571428571429
