"","Phoxinus phoxinus","Hemibarbus maculatus","Gobiocypris rarus","Pseudorasbora parva","Rhodeus ocellatus","Megalobrama pellegrini","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Zacco platypus","Acrossocheilus monticola","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Enteromius neumayeri","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Clarias gariepinus","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Paracheirodon axelrodi","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Salmo trutta","Salmo salar","Pomacentrus amboinensis","Amphiprion melanopus","Amphiprion chrysopterus","Amphiprion percula","Acanthochromis polyacanthus","Chromis viridis","Forsterygion lapillum","Bellapiscis medius","Amphistichus argenteus","Oreochromis niloticus","Apistogramma trifasciata","Amatitlania nigrofasciata","Poecilia reticulata","Gambusia holbrooki","Fundulus heteroclitus","Fundulus grandis","Fundulus parvipinnis","Platichthys flesus","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Trachurus trachurus","Coryphaena hippurus","Channa argus","Dicentrarchus labrax","Chrysoblephus laticeps","Lutjanus fulvus","Caesio cuning","Acanthurus triostegus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Myoxocephalus scorpius","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Centropristis striata","Macquaria ambigua","Siniperca chuatsi","Paracirrhites arcatus","Girella nigricans","Polyprion oxygeneios","Thunnus orientalis","Neogobius melanostomus","Rhinogobius giurinus","Gadus morhua","Boreogadus saida","Anguilla anguilla","Acipenser medirostris","Hemiscyllium ocellatum","Somniosus microcephalus"
"Phoxinus phoxinus",1,0.967032967032967,0.967032967032967,0.967032967032967,0.956043956043956,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Hemibarbus maculatus",0.967032967032967,1,0.978021978021978,0.978021978021978,0.956043956043956,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Gobiocypris rarus",0.967032967032967,0.978021978021978,1,0.989010989010989,0.956043956043956,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Pseudorasbora parva",0.967032967032967,0.978021978021978,0.989010989010989,1,0.956043956043956,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Rhodeus ocellatus",0.956043956043956,0.956043956043956,0.956043956043956,0.956043956043956,1,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Megalobrama pellegrini",0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,1,0.989010989010989,0.967032967032967,0.967032967032967,0.956043956043956,0.945054945054945,0.934065934065934,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Sinibrama taeniatus",0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.989010989010989,1,0.967032967032967,0.967032967032967,0.956043956043956,0.945054945054945,0.934065934065934,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Hypophthalmichthys molitrix",0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.967032967032967,0.967032967032967,1,0.989010989010989,0.956043956043956,0.945054945054945,0.934065934065934,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Hypophthalmichthys nobilis",0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.967032967032967,0.967032967032967,0.989010989010989,1,0.956043956043956,0.945054945054945,0.934065934065934,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
"Mylopharyngodon piceus",0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.879120879120879,0.956043956043956,0.956043956043956,0.956043956043956,0.956043956043956,1,0.945054945054945,0.934065934065934,0.868131868131868,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.78021978021978,0.736263736263736,0.736263736263736,0.736263736263736,0.736263736263736,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.67032967032967,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.0439560439560439,0.032967032967033,0.021978021978022,0,0
