"","Phoxinus phoxinus","Hemibarbus maculatus","Gobiocypris rarus","Pseudorasbora parva","Rhodeus ocellatus","Megalobrama pellegrini","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Zacco platypus","Acrossocheilus monticola","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salmo trutta","Pomacentrus amboinensis","Acanthochromis polyacanthus","Amphistichus argenteus","Poecilia reticulata","Gambusia holbrooki","Fundulus grandis","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Channa argus","Chrysoblephus laticeps","Lutjanus fulvus","Caesio cuning","Acanthurus triostegus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Macquaria ambigua","Siniperca chuatsi","Paracirrhites arcatus","Girella nigricans","Neogobius melanostomus","Rhinogobius giurinus","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Phoxinus phoxinus",1,0.952380952380952,0.952380952380952,0.952380952380952,0.936507936507937,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Hemibarbus maculatus",0.952380952380952,1,0.968253968253968,0.968253968253968,0.936507936507937,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Gobiocypris rarus",0.952380952380952,0.968253968253968,1,0.984126984126984,0.936507936507937,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Pseudorasbora parva",0.952380952380952,0.968253968253968,0.984126984126984,1,0.936507936507937,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Rhodeus ocellatus",0.936507936507937,0.936507936507937,0.936507936507937,0.936507936507937,1,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Megalobrama pellegrini",0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,1,0.984126984126984,0.952380952380952,0.952380952380952,0.936507936507936,0.92063492063492,0.904761904761905,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Sinibrama taeniatus",0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.984126984126984,1,0.952380952380952,0.952380952380952,0.936507936507936,0.92063492063492,0.904761904761905,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Hypophthalmichthys molitrix",0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.952380952380952,0.952380952380952,1,0.984126984126984,0.936507936507936,0.92063492063492,0.904761904761905,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Hypophthalmichthys nobilis",0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.952380952380952,0.952380952380952,0.984126984126984,1,0.936507936507936,0.92063492063492,0.904761904761905,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
"Mylopharyngodon piceus",0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.825396825396825,0.936507936507936,0.936507936507936,0.936507936507936,0.936507936507936,1,0.92063492063492,0.904761904761905,0.80952380952381,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.698412698412698,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.571428571428572,0.571428571428572,0.571428571428572,0.571428571428572,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.0158730158730159,0
