"species","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Abbottina rivularis",22903,"Abbottina",559,"(Basilewsky, 1855)","Chinese false gudgeon","Abriv_u2.jpg",NA,NA,NA,754,NA,8266,NA,"fusiform-normal","O",NA,NA,0,1,1,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.88,NA,18.8999996185303,"TL",NA,NA,89110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit shallow zones of lentic rivers and lakes with sandy or muddy bottoms (Ref. 12819).",NA,0.531199991703033,0,113,1996-05-13,2,2018-04-04,97,2003-01-03,NA
"Acanthochromis polyacanthus",6655,"Acanthochromis",7247,"(Bleeker, 1855)","Spiny chromis","Acpol_u0.jpg",NA,NA,"Acpol_j2.jpg",350,"Pomacentrinae",3182,NA,"short and-or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,65,9710,4,20,90102,NA,NA,NA,NA,13.33,NA,14,"TL",NA,NA,48636,NA,NA,NA,NA,NA,NA,NA,NA,"ACPOL_U6",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit inshore and offshore coral reefs (Ref. 9710).  Also found in harbors, lagoons and outer reef slopes.  The only pomacentrid species that lacks a pelagic larval stage.  One of the very few marine fishes where fry are guarded by the parents (Ref. 9710, 48636).  School as they grow and sub-adults are usually seen in small groups.  Adults form pairs and are territorial when breeding (Ref. 48636).  Monogamous (Ref. 52884).  Oviparous (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,1,0,14,1992-12-02,2310,2013-05-02,1,1998-12-21,NA
"Amatitlania nigrofasciata",3615,"Amatitlania",74403,"(Günther, 1867)","Convict cichlid","Amnig_f1.jpg","Amnig_m0.jpg","Amnig_f0.jpg","Arnig_j1.jpg",349,"Cichlasomatinae",10626,NA,"short and-or deep","r",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.85,NA,10,"SL",NA,NA,36377,8.5,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,4537,"of no interest","unknown",NA,NA,NA,NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"highly commercial","based mainly on breeding",7020,0,NA,"potential pest",44091,"no special ability",NA,NA,1,"Adults inhabit flowing water from small creeks and streams to the shallows of large and fast flowing rivers (Ref. 7335).  Prefer rocky habitats and finds sanctuary in the various cracks and crevices provided by this type of environment (Ref. 7335), or among roots and debris (Ref. 44091).  They occur in warm pools of springs and their effluents (Ref. 7020).  Feed on worms, crustaceans, insects, fish and plant matter (Refs. 7020; 44091).  Also used in behavioral studies (Ref. 4537).  Approximately 100-150 eggs are deposited and are vigorously guarded and cared for by both male and female (Ref. 44091).  A popular aquarium fish which requires high temperature to maintain itself in an environment, e.g. artificially heated waters of power stations.  Aquarium keeping:  in pairs; minimum aquarium size 80 cm (Ref. 51539).",NA,0.501999974250793,0,1,1991-05-01,303,2009-04-29,409,2001-11-16,NA
"Acanthurus triostegus",1260,"Acanthurus",1920,"(Linnaeus, 1758)","Convict surgeonfish","Actri_u9.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and-or deep","R",NA,"Planes and Fauvelot (2002) studied <i>Acanthurus triostegus</i> over its vast range and published in the journal Evolution and they did not recognize <i>Acanthurus triostegus sandvicensis</i> as a species.  FishBase follows Randall, 1956 with <i>A. sandvicensis</i>  as a subspecies (synonym) of <i>A. triostegus</i>.",0,0,0,1,"reef-associated","WaterAssumed",NA,NA,NA,0,90,9710,0,90,27115,NA,NA,NA,NA,16.26,29.02,27,"TL",NA,NA,3145,17,"TL",NA,NA,9267,NA,NA,NA,"ACTRI_U1",NA,NA,NA,9391,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,1,1,1,0,1,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,1,"Adults occur in lagoon and seaward reefs with hard substrate; young abundant in tide pools (Ref. 3145, 48637).  Benthopelagic (Ref. 58302).  Often feeding near freshwater run-offs where certain algae grow on rocks that are grazed (Ref. 48637).  Occasionally form schools; feed on filamentous algae in large aggregations.  During spawning, clouds of eggs and sperm are preyed upon by eagle rays which are often present during spawning.  Form spawning aggregations (Ref. 27825).  Size of metamorphosis from post-larva stage to juvenile is 3.2 cm (Ref. 9267).  Utilized as a food fish (Ref. 7364).  Minimum depth reported taken from Ref. 27115.",NA,0.5,0,2,1990-10-17,2,2014-09-11,113,1995-06-08,NA
"Acipenser medirostris",2592,"Acipenser",5723,"Ayres, 1854","Green sturgeon","Acmed_u0.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,1,1,1,"demersal","WaterAssumed",NA,"anadromous",120652,0,80,50610,NA,NA,NA,60,72476,NA,NA,79.94,67.2,270,"TL",NA,NA,96339,130,"TL",NA,NA,12193,159000,NA,2850,"ACMED_U0",NA,NA,NA,4563,"minor commercial","unknown",NA,NA," ",NA,"seines"," ",0,1,0,0,0,1,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,1,4699,"harmless",NA,"electrosensing only",10311,NA,1,"Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547).  Edible but with a disagreeable taste and unpleasant odor (Ref. 1998).",NA,0.5,0,1,1991-05-01,2673,2019-07-10,113,1995-12-15,NA
"Acrossocheilus monticola",55155,"Acrossocheilus",33021,"(Günther, 1888)",NA,"Acmon_u6.jpg",NA,NA,NA,122,"Acrossocheilinae",8561,NA,"elongated","O",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,18,"TL",NA,NA,NA,17.5,NA,NA,NA,35840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,NA,NA,0.5,0,97,2000-02-15,NA,2000-10-20,NA,NA,NA
"Amphiprion chrysopterus",4551,"Amphiprion",5911,"Cuvier, 1830","Orangefin anemonefish","Amchr_u0.jpg",NA,NA,"Amchr_j1.jpg",350,"Pomacentrinae",5120,NA,"short and-or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,40,89972,NA,NA,NA,NA,NA,NA,NA,16.48,NA,17,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"AMCHR_U6",NA,NA,NA,NA,"subsistence fisheries","unknown",NA,NA,NA,NA,"seines",NA,0,1,0,0,0,0,0,0,1,0,"never/rarely",NA,237,"never/rarely",NA,"commercial","based mainly on capture",4537,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit passages and outer reef slopes.  Known to occur at 25°C.  Feed chiefly on planktonic copepods, algae, echiuroid and sipunculoid worms, and pelagic tunicates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Associated with the anemones:   <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Entacmaea&subgenus=&species=quadricolor&subspecies=&synseniorid=51><i>Entacmaea quadricolor</i></a>, <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=aurora&subspecies=&synseniorid=15&validspecies=Heteractis%20aurora&authorship=%28Quoy%20and%20Gaimard%2C%201833%29><i>Heteractis aurora</i></a>, <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=crispa&subspecies=&synseniorid=89&validspecies=Heteractis%20crispa&authorship=%28Hemprich%20and%20Ehrenberg%20in%20Ehrenberg%2C%201834%29><i>Heteractis crispa</i></a>, <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=magnifica&subspecies=&synseniorid=83&validspecies=Heteractis%20magnifica&authorship=%28Quoy%20and%20Gaimard%2C%201833%29><i>Heteractis magnifica</i></a>, <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Stichodactyla&subgenus=&species=haddoni&subspecies=&synseniorid=113&validspecies=Stichodactyla%20haddoni&authorship=%28Saville%2DKent%2C%201893%29><i>Stichodactyla haddoni</i></a>, and <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Stichodactyla&subgenus=&species=mertensii&subspecies=&synseniorid=116&validspecies=Stichodactyla%20mertensii&authorship=Brandt%2C%201835><i>Stichodactyla mertensii</i></a> (Ref. 5911).",NA,0.5,0,2,1991-07-23,2291,2014-10-14,65,1994-08-22,NA
"Amphiprion melanopus",4654,"Amphiprion",7247,"Bleeker, 1852","Fire clownfish","Ammel_ud.jpg",NA,NA,NA,350,"Pomacentrinae",5120,NA,"short and-or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,18,1602,NA,NA,NA,5,237,NA,NA,24.65,NA,12,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"AMMEL_UC",NA,NA,NA,NA,"subsistence fisheries","unknown",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4907,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit lagoon and outer reef environments.  Feed predominantly on planktonic copepods and algae.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Associated with the anemones: <ahref=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Entacmaea&subgenus=&species=quadricolor&subspecies=&synseniorid=51><i>Entacmaea quadricolor</i></a> (usually), <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=crispa&subspecies=&synseniorid=89&validspecies=Heteractis%20crispa&authorship=%28Hemprich%20and%20Ehrenberg%20in%20Ehrenberg%2C%201834%29><i>Heteractis crispa</i></a> (occasionally), and <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=magnifica&subspecies=&synseniorid=83&validspecies=Heteractis%20magnifica&authorship=%28Quoy%20and%20Gaimard%2C%201833%29><i>Heteractis magnifica</i></a> (rarely) (Ref. 5911).  Has been reared in captivity (Ref. 35404, 35413, 35420).",NA,0.5,0,3,1991-09-27,2,2013-08-19,34,1994-08-08,NA
"Amphiprion percula",9209,"Amphiprion",7247,"(Lacepède, 1802)","Orange clownfish","Amper_ur.jpg",NA,NA,NA,350,"Pomacentrinae",5120,NA,"fusiform-normal","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,15,9710,NA,NA,NA,NA,NA,NA,NA,10,NA,11,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"AMPER_UF",NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"commercial","based mainly on capture",4537,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit lagoon and seaward reefs (Ref. 9710).  Each group of fish consists of a breeding pair and 0-4 non-breeders.  Within each group there is a size-based hierarchy:  the female is largest, the male is second largest, and the non-breeders get progressively smaller as the hierarchy is descended.  If the female dies, the male changes sex and becomes the breeding female, while the largest non-breeder becomes the breeding male.  The maintenance of size differences may avoid conflicts, because subordinates do not become a threat to their dominants (Ref. 47841).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Maybe found  in shallower depths than <i>A. ocellaris</i>.  Associated with the anemones:  <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=crispa&subspecies=&synseniorid=89&validspecies=Heteractis%20crispa&authorship=%28Hemprich%20and%20Ehrenberg%20in%20Ehrenberg%2C%201834%29><i>Heteractis crispa</i></a>, <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Heteractis&subgenus=&species=magnifica&subspecies=&synseniorid=83&validspecies=Heteractis%20magnifica&authorship=%28Quoy%20and%20Gaimard%2C%201833%29><i>Heteractis magnifica</i></a>, and <a href=http://hercules.kgs.ku.edu/hexacoral/anemone2/speciesdetail.cfm?genus=Stichodactyla&subgenus=&species=gigantea&subspecies=&synseniorid=147&validspecies=Stichodactyla%20gigantea&authorship=%28Forsk%E5l%2C%201775%29><i>Stichodactyla gigantea</i></a> (Ref. 5911).  This species has been reared in captivity (Ref. 35404, 35413, 35420).",NA,0.5,0,65,1994-03-17,97,2016-03-07,34,1994-08-08,NA
"Amphistichus argenteus",3622,"Amphistichus",2850,"Agassiz, 1854","Barred surfperch","Amarg_u1.jpg",NA,NA,NA,348,NA,971,NA,"fusiform-normal","O",NA,NA,0,0,0,1,"demersal","WaterAssumed",NA,NA,NA,0,73,96339,NA,NA,NA,9,56049,NA,NA,53.29,NA,43,"TL",NA,NA,2850,30,"TL",NA,NA,2850,2000,NA,2850,NA,NA,NA,NA,4563,"minor commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,1,4563,"harmless",NA,"no special ability",NA,NA,1,"Mostly found in surf of sand beaches, but reported from trawl catches at depths up to 73 m.  Also occur near rocks, pilings and other sources of cover and food.  Usually form small groups.  Also caught from piers and skiffs.  Feed preferably on sand crabs but also eats clams and other invertebrates.  Viviparous, female carries the developing young (Ref. 205).  Minimum depth range based on ecology (Ref. 96339).",NA,0.625,0,1,1991-05-01,2495,2020-03-02,10,1994-07-25,NA
