"","5 %","95 %","var","MR","temp_cat"
".sig01",NA,NA,".sig01","MMR","ER"
".sig02",NA,NA,".sig02","MMR","ER"
".sig03",NA,NA,".sig03","MMR","ER"
".sigma",NA,NA,".sigma","MMR","ER"
"(Intercept)",-1.54458885100166,-0.352131913122709,"(Intercept)","MMR","ER"
"lnBWg",0.405678174394425,1.35278168227422,"lnBWg","MMR","ER"
"tempTest",-0.00280703187710274,0.0158284081494344,"tempTest","MMR","ER"
"lnBWg:tempTest",0.00301891232322765,0.00686070321289599,"lnBWg:tempTest","MMR","ER"
".sig011",NA,NA,".sig01","RMR","ER"
".sig021",NA,NA,".sig02","RMR","ER"
".sig031",NA,NA,".sig03","RMR","ER"
".sigma1",NA,NA,".sigma","RMR","ER"
"(Intercept)1",-2.91815077983755,-2.45019242718806,"(Intercept)","RMR","ER"
"lnBWg1",0.696613730282132,0.95380998070834,"lnBWg","RMR","ER"
"tempTest1",0.0501376216777975,0.0574458562608726,"tempTest","RMR","ER"
".sig012",NA,NA,".sig01","FAS","ER"
".sig022",NA,NA,".sig02","FAS","ER"
".sig032",NA,NA,".sig03","FAS","ER"
".sigma2",NA,NA,".sigma","FAS","ER"
"(Intercept)2",1.86695227568803,2.40809521442079,"(Intercept)","FAS","ER"
"lnBWg2",-0.0556801813246801,0.0103427194282418,"lnBWg","FAS","ER"
"tempTest2",-0.0409097013828045,-0.0225025377721821,"tempTest","FAS","ER"
".sig013",NA,NA,".sig01","AS","ER"
".sig023",NA,NA,".sig02","AS","ER"
".sig033",NA,NA,".sig03","AS","ER"
".sigma3",NA,NA,".sigma","AS","ER"
"(Intercept)3",-4.06739528092642,-1.26566254752185,"(Intercept)","AS","ER"
"lnBWg3",0.0599129109425564,1.94302559940398,"lnBWg","AS","ER"
"tempTest3",0.0226481629218161,0.0398355439381999,"tempTest","AS","ER"
".sig014",NA,NA,".sig01","MMR","W"
".sig024",NA,NA,".sig02","MMR","W"
".sig034",NA,NA,".sig03","MMR","W"
".sigma4",NA,NA,".sigma","MMR","W"
"(Intercept)4",0.178469517850128,1.08131621383167,"(Intercept)","MMR","W"
"lnBWg4",0.80816085691257,0.880533937249964,"lnBWg","MMR","W"
"tempTest4",-0.030255889000989,-0.00455094511611821,"tempTest","MMR","W"
".sig015",NA,NA,".sig01","RMR","W"
".sig025",NA,NA,".sig02","RMR","W"
".sig035",NA,NA,".sig03","RMR","W"
".sigma5",NA,NA,".sigma","RMR","W"
"(Intercept)5",-3.72538829008548,-1.87844581344719,"(Intercept)","RMR","W"
"lnBWg5",0.759678077453934,0.857666109285176,"lnBWg","RMR","W"
"tempTest5",0.0663385481104407,0.0959165023902674,"tempTest","RMR","W"
".sig016",NA,NA,".sig01","FAS","W"
".sig026",NA,NA,".sig02","FAS","W"
".sig036",NA,NA,".sig03","FAS","W"
".sigma6",NA,NA,".sigma","FAS","W"
"(Intercept)6",3.81222700104127,5.05420806981842,"(Intercept)","FAS","W"
"lnBWg6",-0.199148951158612,-0.129028448389925,"lnBWg","FAS","W"
"tempTest6",-0.112648988269384,-0.0768610445408737,"tempTest","FAS","W"
".sig017",NA,NA,".sig01","AS","W"
".sig027",NA,NA,".sig02","AS","W"
".sig037",NA,NA,".sig03","AS","W"
".sigma7",NA,NA,".sigma","AS","W"
"(Intercept)7",-3.71085893256325,0.193659981640252,"(Intercept)","AS","W"
"lnBWg7",1.25085398946594,1.87725975334921,"lnBWg","AS","W"
"tempTest7",-0.0215169883059132,0.102896752798741,"tempTest","AS","W"
"lnBWg:tempTest1",-0.0368082047980824,-0.015662253128363,"lnBWg:tempTest","AS","W"
