"","5 %","95 %","var","MR","temp_cat"
".sig01",NA,NA,".sig01","MMR","ER"
".sig02",NA,NA,".sig02","MMR","ER"
".sig03",NA,NA,".sig03","MMR","ER"
".sigma",NA,NA,".sigma","MMR","ER"
"(Intercept)",-1.95704529399413,-1.50440500934088,"(Intercept)","MMR","ER"
"lnBWg",0.427978396278984,1.42196089293218,"lnBWg","MMR","ER"
"tempTest",0.0638125304112613,0.0807539699354608,"tempTest","MMR","ER"
"lnBWg:tempTest",-0.0113351757196053,-0.00597198992210585,"lnBWg:tempTest","MMR","ER"
".sig011",NA,NA,".sig01","RMR","ER"
".sig021",NA,NA,".sig02","RMR","ER"
".sig031",NA,NA,".sig03","RMR","ER"
".sigma1",NA,NA,".sigma","RMR","ER"
"(Intercept)1",-4.32362872511,-2.38044683916533,"(Intercept)","RMR","ER"
"lnBWg1",0.768157850459056,0.850037126584067,"lnBWg","RMR","ER"
"tempTest1",0.0720156369021327,0.0786321801804039,"tempTest","RMR","ER"
".sig012",NA,NA,".sig01","FAS","ER"
".sig022",NA,NA,".sig02","FAS","ER"
".sig032",NA,NA,".sig03","FAS","ER"
".sigma2",NA,NA,".sigma","FAS","ER"
"(Intercept)2",1.0386425410534,1.58233084535054,"(Intercept)","FAS","ER"
"lnBWg2",0.0887932899894416,0.207658228995339,"lnBWg","FAS","ER"
"tempTest2",-0.036729190540826,0.0358324201289069,"tempTest","FAS","ER"
"lnBWg:tempTest1",-0.010618732000609,-0.00455984053247996,"lnBWg:tempTest","FAS","ER"
".sig013",NA,NA,".sig01","AS","ER"
".sig023",NA,NA,".sig02","AS","ER"
".sig033",NA,NA,".sig03","AS","ER"
".sigma3",NA,NA,".sigma","AS","ER"
"(Intercept)3",-2.58223440202474,-2.03669788021098,"(Intercept)","AS","ER"
"lnBWg3",1.06634142023536,1.18964800095297,"lnBWg","AS","ER"
"tempTest3",0.0501436261975026,0.0967369765471349,"tempTest","AS","ER"
"lnBWg:tempTest2",-0.0169783376334077,-0.0107296620021932,"lnBWg:tempTest","AS","ER"
".sig014",NA,NA,".sig01","MMR","W"
".sig024",NA,NA,".sig02","MMR","W"
".sig034",NA,NA,".sig03","MMR","W"
".sigma4",NA,NA,".sigma","MMR","W"
"(Intercept)4",-1.16411377647695,-0.931583330530413,"(Intercept)","MMR","W"
"lnBWg4",0.479484879712134,1.0331332218152,"lnBWg","MMR","W"
"tempTest4",0.036694225521488,0.0412647369609143,"tempTest","MMR","W"
".sig015",NA,NA,".sig01","RMR","W"
".sig025",NA,NA,".sig02","RMR","W"
".sig035",NA,NA,".sig03","RMR","W"
".sigma5",NA,NA,".sigma","RMR","W"
"(Intercept)5",-3.0086840163235,-2.41737696649586,"(Intercept)","RMR","W"
"lnBWg5",0.7891411557444,0.856301957502311,"lnBWg","RMR","W"
"tempTest5",0.0522950793044423,0.0826073171521819,"tempTest","RMR","W"
".sig016",NA,NA,".sig01","FAS","W"
".sig026",NA,NA,".sig02","FAS","W"
".sig036",NA,NA,".sig03","FAS","W"
".sigma6",NA,NA,".sigma","FAS","W"
"(Intercept)6",1.59013642848279,2.16205917143621,"(Intercept)","FAS","W"
"lnBWg6",-0.06875227413788,0.00364260020816098,"lnBWg","FAS","W"
"tempTest6",-0.0482288921387891,-0.0281343174883943,"tempTest","FAS","W"
".sig017",NA,NA,".sig01","AS","W"
".sig027",NA,NA,".sig02","AS","W"
".sig037",NA,NA,".sig03","AS","W"
".sigma7",NA,NA,".sigma","AS","W"
"(Intercept)7",-0.855809705181909,-0.536939104345784,"(Intercept)","AS","W"
"lnBWg7",0.745101803758959,0.835043663989946,"lnBWg","AS","W"
"tempTest7",-0.0620700565861342,0.0254334048530924,"tempTest","AS","W"
