"tempTest","lnBWg","model_predFE"
8,-1.6194882482876,-1.9608463233583
9,-1.6194882482876,-1.92186684211709
10,-1.6194882482876,-1.88288736087589
11,-1.6194882482876,-1.84390787963469
12,-1.6194882482876,-1.80492839839349
13,-1.6194882482876,-1.76594891715228
14,-1.6194882482876,-1.72696943591108
15,-1.6194882482876,-1.68798995466988
16,-1.6194882482876,-1.64901047342868
17,-1.6194882482876,-1.61003099218747
18,-1.6194882482876,-1.57105151094627
19,-1.6194882482876,-1.53207202970507
20,-1.6194882482876,-1.49309254846387
21,-1.6194882482876,-1.45411306722266
22,-1.6194882482876,-1.41513358598146
23,-1.6194882482876,-1.37615410474026
24,-1.6194882482876,-1.33717462349906
25,-1.6194882482876,-1.29819514225786
26,-1.6194882482876,-1.25921566101665
27,-1.6194882482876,-1.22023617977545
28,-1.6194882482876,-1.18125669853425
29,-1.6194882482876,-1.14227721729305
30,-1.6194882482876,-1.10329773605184
31,-1.6194882482876,-1.06431825481064
32,-1.6194882482876,-1.02533877356944
33,-1.6194882482876,-0.986359292328235
34,-1.6194882482876,-0.947379811087033
35,-1.6194882482876,-0.908400329845831
36,-1.6194882482876,-0.869420848604628
37,-1.6194882482876,-0.830441367363426
38,-1.6194882482876,-0.791461886122223
39,-1.6194882482876,-0.752482404881021
8,-1.1194882482876,-1.5826917979768
9,-1.1194882482876,-1.5437123167356
10,-1.1194882482876,-1.5047328354944
11,-1.1194882482876,-1.4657533542532
12,-1.1194882482876,-1.426773873012
13,-1.1194882482876,-1.38779439177079
14,-1.1194882482876,-1.34881491052959
15,-1.1194882482876,-1.30983542928839
16,-1.1194882482876,-1.27085594804719
17,-1.1194882482876,-1.23187646680598
18,-1.1194882482876,-1.19289698556478
19,-1.1194882482876,-1.15391750432358
20,-1.1194882482876,-1.11493802308238
21,-1.1194882482876,-1.07595854184117
22,-1.1194882482876,-1.03697906059997
23,-1.1194882482876,-0.997999579358768
24,-1.1194882482876,-0.959020098117566
25,-1.1194882482876,-0.920040616876364
26,-1.1194882482876,-0.881061135635161
27,-1.1194882482876,-0.842081654393959
28,-1.1194882482876,-0.803102173152756
29,-1.1194882482876,-0.764122691911554
30,-1.1194882482876,-0.725143210670351
31,-1.1194882482876,-0.686163729429149
32,-1.1194882482876,-0.647184248187947
33,-1.1194882482876,-0.608204766946744
34,-1.1194882482876,-0.569225285705542
35,-1.1194882482876,-0.530245804464339
36,-1.1194882482876,-0.491266323223137
37,-1.1194882482876,-0.452286841981934
38,-1.1194882482876,-0.413307360740732
39,-1.1194882482876,-0.37432787949953
8,-0.619488248287602,-1.20453727259531
9,-0.619488248287602,-1.16555779135411
10,-0.619488248287602,-1.12657831011291
11,-0.619488248287602,-1.08759882887171
12,-0.619488248287602,-1.0486193476305
13,-0.619488248287602,-1.0096398663893
14,-0.619488248287602,-0.970660385148099
15,-0.619488248287602,-0.931680903906897
16,-0.619488248287602,-0.892701422665694
17,-0.619488248287602,-0.853721941424492
18,-0.619488248287602,-0.81474246018329
19,-0.619488248287602,-0.775762978942087
20,-0.619488248287602,-0.736783497700885
21,-0.619488248287602,-0.697804016459682
22,-0.619488248287602,-0.65882453521848
23,-0.619488248287602,-0.619845053977277
24,-0.619488248287602,-0.580865572736075
25,-0.619488248287602,-0.541886091494873
26,-0.619488248287602,-0.50290661025367
27,-0.619488248287602,-0.463927129012468
28,-0.619488248287602,-0.424947647771265
