"","2.5 %","97.5 %","var","MR","temp_cat"
".sig01",NA,NA,".sig01","MMR","ER"
".sig02",NA,NA,".sig02","MMR","ER"
".sig03",NA,NA,".sig03","MMR","ER"
".sigma",NA,NA,".sigma","MMR","ER"
"(Intercept)",-1.33575580388367,-1.03643076701057,"(Intercept)","MMR","ER"
"lnBWg",0.211037009221604,1.34793777784324,"lnBWg","MMR","ER"
"tempTest",0.036160476905096,0.0430474853721171,"tempTest","MMR","ER"
".sig011",NA,NA,".sig01","RMR","ER"
".sig021",NA,NA,".sig02","RMR","ER"
".sig031",NA,NA,".sig03","RMR","ER"
".sigma1",NA,NA,".sigma","RMR","ER"
"(Intercept)1",-2.96073702070488,-2.61352814095855,"(Intercept)","RMR","ER"
"lnBWg1",0.518469292695126,1.06180266097595,"lnBWg","RMR","ER"
"tempTest1",0.0481428070639558,0.0594470282863064,"tempTest","RMR","ER"
"lnBWg:tempTest",0.00148716189865161,0.00486831772643215,"lnBWg:tempTest","RMR","ER"
".sig012",NA,NA,".sig01","FAS","ER"
".sig022",NA,NA,".sig02","FAS","ER"
".sig032",NA,NA,".sig03","FAS","ER"
".sigma2",NA,NA,".sigma","FAS","ER"
"(Intercept)2",1.16928289182115,1.6154879068075,"(Intercept)","FAS","ER"
"lnBWg2",0.079881873201755,0.170849448044112,"lnBWg","FAS","ER"
"tempTest2",-0.0188041811482268,0.0106061827579938,"tempTest","FAS","ER"
"lnBWg:tempTest1",-0.00808108493631948,-0.00373989732140604,"lnBWg:tempTest","FAS","ER"
".sig013",NA,NA,".sig01","AS","ER"
".sig023",NA,NA,".sig02","AS","ER"
".sig033",NA,NA,".sig03","AS","ER"
".sigma3",NA,NA,".sigma","AS","ER"
"(Intercept)3",-3.62577661288308,-0.814498021053506,"(Intercept)","AS","ER"
"lnBWg3",0.997079673759539,1.09818925067803,"lnBWg","AS","ER"
"tempTest3",0.0597490770940337,0.0785394183025218,"tempTest","AS","ER"
"lnBWg:tempTest2",-0.0123476438162997,-0.00767573981258478,"lnBWg:tempTest","AS","ER"
".sig014",NA,NA,".sig01","MMR","W"
".sig024",NA,NA,".sig02","MMR","W"
".sig034",NA,NA,".sig03","MMR","W"
".sigma4",NA,NA,".sigma","MMR","W"
"(Intercept)4",-1.44174828054052,-0.820749738523271,"(Intercept)","MMR","W"
"lnBWg4",0.987908027378823,1.12748725125005,"lnBWg","MMR","W"
"tempTest4",0.0134062622730364,0.0647846890387786,"tempTest","MMR","W"
"lnBWg:tempTest3",-0.0108055859619935,-0.00557447375887184,"lnBWg:tempTest","MMR","W"
".sig015",NA,NA,".sig01","RMR","W"
".sig025",NA,NA,".sig02","RMR","W"
".sig035",NA,NA,".sig03","RMR","W"
".sigma5",NA,NA,".sigma","RMR","W"
"(Intercept)5",-3.59166410420938,-3.12790890479614,"(Intercept)","RMR","W"
"lnBWg5",0.74957830081928,0.990424052493577,"lnBWg","RMR","W"
"tempTest5",0.0785824353126547,0.0862698553688658,"tempTest","RMR","W"
".sig016",NA,NA,".sig01","FAS","W"
".sig026",NA,NA,".sig02","FAS","W"
".sig036",NA,NA,".sig03","FAS","W"
".sigma6",NA,NA,".sigma","FAS","W"
"(Intercept)6",2.21250625974507,2.67423055285141,"(Intercept)","FAS","W"
"lnBWg6",-0.0856623088877299,-0.0178518091562871,"lnBWg","FAS","W"
"tempTest6",-0.0492244410744053,-0.0415634209271483,"tempTest","FAS","W"
".sig017",NA,NA,".sig01","AS","W"
".sig027",NA,NA,".sig02","AS","W"
".sig037",NA,NA,".sig03","AS","W"
".sigma7",NA,NA,".sigma","AS","W"
"(Intercept)7",-1.71375268050929,-0.368507403190144,"(Intercept)","AS","W"
"lnBWg7",1.00776586196759,1.34105229295027,"lnBWg","AS","W"
"tempTest7",-0.0527499615077464,0.0655325126417174,"tempTest","AS","W"
"lnBWg:tempTest4",-0.0197906344316785,-0.00787910077485581,"lnBWg:tempTest","AS","W"
