"tempTest","lnBWg","model_predFE"
0,-3.19418321227783,-3.67591883205516
1,-3.19418321227783,-3.63631485091657
2,-3.19418321227783,-3.59671086977797
3,-3.19418321227783,-3.55710688863938
4,-3.19418321227783,-3.51750290750079
5,-3.19418321227783,-3.47789892636219
6,-3.19418321227783,-3.4382949452236
7,-3.19418321227783,-3.39869096408501
8,-3.19418321227783,-3.35908698294641
9,-3.19418321227783,-3.31948300180782
10,-3.19418321227783,-3.27987902066923
11,-3.19418321227783,-3.24027503953063
12,-3.19418321227783,-3.20067105839204
13,-3.19418321227783,-3.16106707725345
14,-3.19418321227783,-3.12146309611485
15,-3.19418321227783,-3.08185911497626
16,-3.19418321227783,-3.04225513383767
17,-3.19418321227783,-3.00265115269907
18,-3.19418321227783,-2.96304717156048
19,-3.19418321227783,-2.92344319042189
20,-3.19418321227783,-2.88383920928329
21,-3.19418321227783,-2.8442352281447
22,-3.19418321227783,-2.80463124700611
23,-3.19418321227783,-2.76502726586751
24,-3.19418321227783,-2.72542328472892
25,-3.19418321227783,-2.68581930359033
26,-3.19418321227783,-2.64621532245173
27,-3.19418321227783,-2.60661134131314
28,-3.19418321227783,-2.56700736017455
29,-3.19418321227783,-2.52740337903595
30,-3.19418321227783,-2.48779939789736
31,-3.19418321227783,-2.44819541675877
0,-2.69418321227783,-3.28617513528815
1,-2.69418321227783,-3.24657115414956
2,-2.69418321227783,-3.20696717301096
3,-2.69418321227783,-3.16736319187237
4,-2.69418321227783,-3.12775921073378
5,-2.69418321227783,-3.08815522959518
6,-2.69418321227783,-3.04855124845659
7,-2.69418321227783,-3.008947267318
8,-2.69418321227783,-2.9693432861794
9,-2.69418321227783,-2.92973930504081
10,-2.69418321227783,-2.89013532390222
11,-2.69418321227783,-2.85053134276362
12,-2.69418321227783,-2.81092736162503
13,-2.69418321227783,-2.77132338048644
14,-2.69418321227783,-2.73171939934784
15,-2.69418321227783,-2.69211541820925
16,-2.69418321227783,-2.65251143707066
17,-2.69418321227783,-2.61290745593206
18,-2.69418321227783,-2.57330347479347
19,-2.69418321227783,-2.53369949365488
20,-2.69418321227783,-2.49409551251628
21,-2.69418321227783,-2.45449153137769
22,-2.69418321227783,-2.4148875502391
23,-2.69418321227783,-2.3752835691005
24,-2.69418321227783,-2.33567958796191
25,-2.69418321227783,-2.29607560682332
26,-2.69418321227783,-2.25647162568472
27,-2.69418321227783,-2.21686764454613
28,-2.69418321227783,-2.17726366340754
29,-2.69418321227783,-2.13765968226894
30,-2.69418321227783,-2.09805570113035
31,-2.69418321227783,-2.05845171999176
0,-2.19418321227783,-2.89643143852114
1,-2.19418321227783,-2.85682745738254
