"tempTest","lnBWg","model_predFE"
8,-1.6194882482876,-2.42530484450085
9,-1.6194882482876,-2.37294571173288
10,-1.6194882482876,-2.32058657896491
11,-1.6194882482876,-2.26822744619694
12,-1.6194882482876,-2.21586831342897
13,-1.6194882482876,-2.163509180661
14,-1.6194882482876,-2.11115004789304
15,-1.6194882482876,-2.05879091512507
16,-1.6194882482876,-2.0064317823571
17,-1.6194882482876,-1.95407264958913
18,-1.6194882482876,-1.90171351682116
19,-1.6194882482876,-1.84935438405319
20,-1.6194882482876,-1.79699525128522
21,-1.6194882482876,-1.74463611851725
22,-1.6194882482876,-1.69227698574928
23,-1.6194882482876,-1.63991785298131
24,-1.6194882482876,-1.58755872021334
25,-1.6194882482876,-1.53519958744537
26,-1.6194882482876,-1.4828404546774
27,-1.6194882482876,-1.43048132190943
28,-1.6194882482876,-1.37812218914146
29,-1.6194882482876,-1.32576305637349
30,-1.6194882482876,-1.27340392360552
31,-1.6194882482876,-1.22104479083755
32,-1.6194882482876,-1.16868565806958
33,-1.6194882482876,-1.11632652530161
34,-1.6194882482876,-1.06396739253365
35,-1.6194882482876,-1.01160825976568
36,-1.6194882482876,-0.959249126997706
37,-1.6194882482876,-0.906889994229737
38,-1.6194882482876,-0.854530861461767
39,-1.6194882482876,-0.802171728693798
8,-1.1194882482876,-1.92921614428526
9,-1.1194882482876,-1.88095202644751
10,-1.1194882482876,-1.83268790860976
11,-1.1194882482876,-1.78442379077201
12,-1.1194882482876,-1.73615967293426
13,-1.1194882482876,-1.68789555509651
14,-1.1194882482876,-1.63963143725876
15,-1.1194882482876,-1.59136731942101
16,-1.1194882482876,-1.54310320158326
17,-1.1194882482876,-1.49483908374552
18,-1.1194882482876,-1.44657496590777
19,-1.1194882482876,-1.39831084807002
20,-1.1194882482876,-1.35004673023227
21,-1.1194882482876,-1.30178261239452
22,-1.1194882482876,-1.25351849455677
23,-1.1194882482876,-1.20525437671902
24,-1.1194882482876,-1.15699025888127
25,-1.1194882482876,-1.10872614104352
26,-1.1194882482876,-1.06046202320578
27,-1.1194882482876,-1.01219790536803
28,-1.1194882482876,-0.963933787530278
29,-1.1194882482876,-0.915669669692528
30,-1.1194882482876,-0.86740555185478
31,-1.1194882482876,-0.819141434017031
32,-1.1194882482876,-0.770877316179282
33,-1.1194882482876,-0.722613198341533
34,-1.1194882482876,-0.674349080503784
35,-1.1194882482876,-0.626084962666035
36,-1.1194882482876,-0.577820844828286
37,-1.1194882482876,-0.529556726990537
38,-1.1194882482876,-0.481292609152789
39,-1.1194882482876,-0.43302849131504
8,-0.619488248287602,-1.43312744406966
9,-0.619488248287602,-1.38895834116213
10,-0.619488248287602,-1.3447892382546
11,-0.619488248287602,-1.30062013534707
12,-0.619488248287602,-1.25645103243955
13,-0.619488248287602,-1.21228192953202
14,-0.619488248287602,-1.16811282662449
15,-0.619488248287602,-1.12394372371696
16,-0.619488248287602,-1.07977462080943
17,-0.619488248287602,-1.0356055179019
18,-0.619488248287602,-0.991436414994375
19,-0.619488248287602,-0.947267312086847
20,-0.619488248287602,-0.903098209179319
21,-0.619488248287602,-0.858929106271791
22,-0.619488248287602,-0.814760003364262
23,-0.619488248287602,-0.770590900456734
24,-0.619488248287602,-0.726421797549206
25,-0.619488248287602,-0.682252694641677
26,-0.619488248287602,-0.638083591734149
27,-0.619488248287602,-0.593914488826621
28,-0.619488248287602,-0.549745385919093
29,-0.619488248287602,-0.505576283011564
30,-0.619488248287602,-0.461407180104036
31,-0.619488248287602,-0.417238077196508
32,-0.619488248287602,-0.37306897428898
33,-0.619488248287602,-0.328899871381451
34,-0.619488248287602,-0.284730768473923
35,-0.619488248287602,-0.240561665566395
36,-0.619488248287602,-0.196392562658867
37,-0.619488248287602,-0.152223459751338
38,-0.619488248287602,-0.10805435684381
39,-0.619488248287602,-0.0638852539362817
8,-0.119488248287602,-0.937038743854061
9,-0.119488248287602,-0.896964655876754
10,-0.119488248287602,-0.856890567899446
11,-0.119488248287602,-0.816816479922138
12,-0.119488248287602,-0.77674239194483
13,-0.119488248287602,-0.736668303967523
14,-0.119488248287602,-0.696594215990215
15,-0.119488248287602,-0.656520128012907
16,-0.119488248287602,-0.6164460400356
17,-0.119488248287602,-0.576371952058292
18,-0.119488248287602,-0.536297864080985
19,-0.119488248287602,-0.496223776103677
20,-0.119488248287602,-0.456149688126369
21,-0.119488248287602,-0.416075600149062
22,-0.119488248287602,-0.376001512171754
23,-0.119488248287602,-0.335927424194446
24,-0.119488248287602,-0.295853336217139
25,-0.119488248287602,-0.255779248239831
26,-0.119488248287602,-0.215705160262523
27,-0.119488248287602,-0.175631072285216
28,-0.119488248287602,-0.135556984307908
29,-0.119488248287602,-0.0954828963306003
30,-0.119488248287602,-0.0554088083532926
31,-0.119488248287602,-0.0153347203759849
32,-0.119488248287602,0.0247393676013228
33,-0.119488248287602,0.0648134555786304
34,-0.119488248287602,0.104887543555938
35,-0.119488248287602,0.144961631533246
36,-0.119488248287602,0.185035719510553
37,-0.119488248287602,0.225109807487861
38,-0.119488248287602,0.265183895465169
39,-0.119488248287602,0.305257983442476
8,0.380511751712398,-0.440950043638464
9,0.380511751712398,-0.404970970591377
10,0.380511751712398,-0.36899189754429
11,0.380511751712398,-0.333012824497203
12,0.380511751712398,-0.297033751450116
13,0.380511751712398,-0.261054678403029
14,0.380511751712398,-0.225075605355942
15,0.380511751712398,-0.189096532308855
16,0.380511751712398,-0.153117459261768
17,0.380511751712398,-0.117138386214681
18,0.380511751712398,-0.0811593131675936
19,0.380511751712398,-0.0451802401205066
20,0.380511751712398,-0.00920116707341953
21,0.380511751712398,0.0267779059736675
22,0.380511751712398,0.0627569790207546
23,0.380511751712398,0.0987360520678416
24,0.380511751712398,0.134715125114929
25,0.380511751712398,0.170694198162016
26,0.380511751712398,0.206673271209103
27,0.380511751712398,0.24265234425619
28,0.380511751712398,0.278631417303277
29,0.380511751712398,0.314610490350364
30,0.380511751712398,0.350589563397451
31,0.380511751712398,0.386568636444538
32,0.380511751712398,0.422547709491625
33,0.380511751712398,0.458526782538712
34,0.380511751712398,0.494505855585799
35,0.380511751712398,0.530484928632886
36,0.380511751712398,0.566464001679973
37,0.380511751712398,0.60244307472706
38,0.380511751712398,0.638422147774147
39,0.380511751712398,0.674401220821234
8,0.880511751712398,0.0551386565771329
9,0.880511751712398,0.0870227146939994
10,0.880511751712398,0.118906772810866
11,0.880511751712398,0.150790830927732
12,0.880511751712398,0.182674889044599
13,0.880511751712398,0.214558947161465
14,0.880511751712398,0.246443005278332
15,0.880511751712398,0.278327063395198
16,0.880511751712398,0.310211121512064
17,0.880511751712398,0.342095179628931
18,0.880511751712398,0.373979237745797
19,0.880511751712398,0.405863295862664
20,0.880511751712398,0.43774735397953
21,0.880511751712398,0.469631412096397
22,0.880511751712398,0.501515470213263
23,0.880511751712398,0.53339952833013
