"tempTest","lnBWg","model_predFE"
-1,-3.2188758248682,-5.37878535288291
0,-3.2188758248682,-5.33702497074976
1,-3.2188758248682,-5.29526458861662
2,-3.2188758248682,-5.25350420648347
3,-3.2188758248682,-5.21174382435032
4,-3.2188758248682,-5.16998344221717
5,-3.2188758248682,-5.12822306008402
6,-3.2188758248682,-5.08646267795087
7,-3.2188758248682,-5.04470229581773
8,-3.2188758248682,-5.00294191368458
9,-3.2188758248682,-4.96118153155143
10,-3.2188758248682,-4.91942114941828
11,-3.2188758248682,-4.87766076728513
12,-3.2188758248682,-4.83590038515198
13,-3.2188758248682,-4.79414000301883
14,-3.2188758248682,-4.75237962088569
15,-3.2188758248682,-4.71061923875254
16,-3.2188758248682,-4.66885885661939
17,-3.2188758248682,-4.62709847448624
18,-3.2188758248682,-4.58533809235309
19,-3.2188758248682,-4.54357771021994
20,-3.2188758248682,-4.5018173280868
21,-3.2188758248682,-4.46005694595365
22,-3.2188758248682,-4.4182965638205
23,-3.2188758248682,-4.37653618168735
24,-3.2188758248682,-4.3347757995542
25,-3.2188758248682,-4.29301541742105
26,-3.2188758248682,-4.2512550352879
27,-3.2188758248682,-4.20949465315475
28,-3.2188758248682,-4.16773427102161
29,-3.2188758248682,-4.12597388888846
30,-3.2188758248682,-4.08421350675531
31,-3.2188758248682,-4.04245312462216
-1,-2.7188758248682,-4.98646104209043
0,-2.7188758248682,-4.9429603032603
1,-2.7188758248682,-4.89945956443017
2,-2.7188758248682,-4.85595882560003
3,-2.7188758248682,-4.8124580867699
4,-2.7188758248682,-4.76895734793977
5,-2.7188758248682,-4.72545660910963
6,-2.7188758248682,-4.6819558702795
7,-2.7188758248682,-4.63845513144937
8,-2.7188758248682,-4.59495439261923
9,-2.7188758248682,-4.5514536537891
10,-2.7188758248682,-4.50795291495897
11,-2.7188758248682,-4.46445217612883
12,-2.7188758248682,-4.4209514372987
13,-2.7188758248682,-4.37745069846857
14,-2.7188758248682,-4.33394995963843
15,-2.7188758248682,-4.2904492208083
16,-2.7188758248682,-4.24694848197817
17,-2.7188758248682,-4.20344774314803
18,-2.7188758248682,-4.1599470043179
19,-2.7188758248682,-4.11644626548777
20,-2.7188758248682,-4.07294552665763
21,-2.7188758248682,-4.0294447878275
22,-2.7188758248682,-3.98594404899737
23,-2.7188758248682,-3.94244331016723
24,-2.7188758248682,-3.8989425713371
25,-2.7188758248682,-3.85544183250697
26,-2.7188758248682,-3.81194109367683
27,-2.7188758248682,-3.7684403548467
28,-2.7188758248682,-3.72493961601657
29,-2.7188758248682,-3.68143887718643
30,-2.7188758248682,-3.6379381383563
31,-2.7188758248682,-3.59443739952617
-1,-2.2188758248682,-4.59413673129796
0,-2.2188758248682,-4.54889563577084
1,-2.2188758248682,-4.50365454024372
2,-2.2188758248682,-4.4584134447166
3,-2.2188758248682,-4.41317234918948
4,-2.2188758248682,-4.36793125366236
5,-2.2188758248682,-4.32269015813525
6,-2.2188758248682,-4.27744906260813
7,-2.2188758248682,-4.23220796708101
8,-2.2188758248682,-4.18696687155389
9,-2.2188758248682,-4.14172577602677
10,-2.2188758248682,-4.09648468049965
11,-2.2188758248682,-4.05124358497254
12,-2.2188758248682,-4.00600248944542
13,-2.2188758248682,-3.9607613939183
14,-2.2188758248682,-3.91552029839118
15,-2.2188758248682,-3.87027920286406
16,-2.2188758248682,-3.82503810733694
17,-2.2188758248682,-3.77979701180983
18,-2.2188758248682,-3.73455591628271
19,-2.2188758248682,-3.68931482075559
20,-2.2188758248682,-3.64407372522847
21,-2.2188758248682,-3.59883262970135
22,-2.2188758248682,-3.55359153417424
23,-2.2188758248682,-3.50835043864712
24,-2.2188758248682,-3.46310934312
25,-2.2188758248682,-3.41786824759288
26,-2.2188758248682,-3.37262715206576
27,-2.2188758248682,-3.32738605653864
28,-2.2188758248682,-3.28214496101153
29,-2.2188758248682,-3.23690386548441
30,-2.2188758248682,-3.19166276995729
31,-2.2188758248682,-3.14642167443017
-1,-1.7188758248682,-4.20181242050548
0,-1.7188758248682,-4.15483096828137
1,-1.7188758248682,-4.10784951605727
2,-1.7188758248682,-4.06086806383317
3,-1.7188758248682,-4.01388661160906
4,-1.7188758248682,-3.96690515938496
5,-1.7188758248682,-3.91992370716086
6,-1.7188758248682,-3.87294225493675
7,-1.7188758248682,-3.82596080271265
8,-1.7188758248682,-3.77897935048855
9,-1.7188758248682,-3.73199789826444
10,-1.7188758248682,-3.68501644604034
11,-1.7188758248682,-3.63803499381624
12,-1.7188758248682,-3.59105354159214
13,-1.7188758248682,-3.54407208936803
14,-1.7188758248682,-3.49709063714393
15,-1.7188758248682,-3.45010918491983
16,-1.7188758248682,-3.40312773269572
17,-1.7188758248682,-3.35614628047162
18,-1.7188758248682,-3.30916482824752
19,-1.7188758248682,-3.26218337602341
20,-1.7188758248682,-3.21520192379931
21,-1.7188758248682,-3.16822047157521
22,-1.7188758248682,-3.1212390193511
23,-1.7188758248682,-3.074257567127
24,-1.7188758248682,-3.0272761149029
25,-1.7188758248682,-2.9802946626788
26,-1.7188758248682,-2.93331321045469
27,-1.7188758248682,-2.88633175823059
28,-1.7188758248682,-2.83935030600649
29,-1.7188758248682,-2.79236885378238
30,-1.7188758248682,-2.74538740155828
31,-1.7188758248682,-2.69840594933418
-1,-1.2188758248682,-3.809488109713
0,-1.2188758248682,-3.76076630079191
1,-1.2188758248682,-3.71204449187082
2,-1.2188758248682,-3.66332268294973
3,-1.2188758248682,-3.61460087402864
4,-1.2188758248682,-3.56587906510756
5,-1.2188758248682,-3.51715725618647
6,-1.2188758248682,-3.46843544726538
7,-1.2188758248682,-3.41971363834429
8,-1.2188758248682,-3.3709918294232
9,-1.2188758248682,-3.32227002050212
10,-1.2188758248682,-3.27354821158103
11,-1.2188758248682,-3.22482640265994
12,-1.2188758248682,-3.17610459373885
13,-1.2188758248682,-3.12738278481776
14,-1.2188758248682,-3.07866097589668
15,-1.2188758248682,-3.02993916697559
16,-1.2188758248682,-2.9812173580545
17,-1.2188758248682,-2.93249554913341
18,-1.2188758248682,-2.88377374021233
19,-1.2188758248682,-2.83505193129124
20,-1.2188758248682,-2.78633012237015
21,-1.2188758248682,-2.73760831344906
22,-1.2188758248682,-2.68888650452797
23,-1.2188758248682,-2.64016469560689
24,-1.2188758248682,-2.5914428866858
25,-1.2188758248682,-2.54272107776471
26,-1.2188758248682,-2.49399926884362
27,-1.2188758248682,-2.44527745992253
28,-1.2188758248682,-2.39655565100145
29,-1.2188758248682,-2.34783384208036
30,-1.2188758248682,-2.29911203315927
31,-1.2188758248682,-2.25039022423818
-1,-0.718875824868201,-3.41716379892052
0,-0.718875824868201,-3.36670163330245
1,-0.718875824868201,-3.31623946768437
2,-0.718875824868201,-3.2657773020663
3,-0.718875824868201,-3.21531513644823
4,-0.718875824868201,-3.16485297083015
5,-0.718875824868201,-3.11439080521208
6,-0.718875824868201,-3.06392863959401
7,-0.718875824868201,-3.01346647397593
8,-0.718875824868201,-2.96300430835786
9,-0.718875824868201,-2.91254214273979
10,-0.718875824868201,-2.86207997712172
11,-0.718875824868201,-2.81161781150364
12,-0.718875824868201,-2.76115564588557
13,-0.718875824868201,-2.7106934802675
14,-0.718875824868201,-2.66023131464943
15,-0.718875824868201,-2.60976914903135
16,-0.718875824868201,-2.55930698341328
17,-0.718875824868201,-2.50884481779521
18,-0.718875824868201,-2.45838265217713
19,-0.718875824868201,-2.40792048655906
20,-0.718875824868201,-2.35745832094099
21,-0.718875824868201,-2.30699615532291
22,-0.718875824868201,-2.25653398970484
